Type,Date,Part_ of_ a_policing_ operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-12-20T14:55:00+00:00,FALSE,,52.496098,-0.678029,Male,17-Oct,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-20T15:30:00+00:00,FALSE,,52.496098,-0.678029,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-20T20:50:00+00:00,FALSE,,52.492433,-0.683957,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-12-20T23:05:00+00:00,FALSE,,,,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Person search,2020-12-21T11:40:00+00:00,FALSE,,52.241197,-0.911805,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-21T13:20:00+00:00,FALSE,,52.491613,-0.723131,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-21T13:20:00+00:00,FALSE,,52.491613,-0.723131,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-12-21T18:30:00+00:00,FALSE,,52.39327,-0.733657,Male,17-Oct,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-21T18:30:00+00:00,FALSE,,52.39327,-0.733657,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-21T18:30:00+00:00,FALSE,,52.39327,-0.733657,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-21T18:37:00+00:00,FALSE,,52.39327,-0.733657,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),TRUE,FALSE
Person search,2020-12-21T19:26:00+00:00,FALSE,,52.24669,-0.925571,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-22T15:15:00+00:00,FALSE,,52.230242,-0.893039,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-22T16:25:00+00:00,FALSE,,,,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-22T21:10:00+00:00,FALSE,,52.241529,-0.90405,Female,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-22T22:06:00+00:00,FALSE,,52.371428,-0.671105,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
